year,origin,destination,embassy_level,focus
2000,AFG,ARE,6,1
2000,AFG,AUT,4,1
2000,AFG,BGD,4,1
2000,AFG,BGR,4,1
2000,AFG,CHN,4,1
2000,AFG,CUB,6,1
2000,AFG,CZE,4,1
2000,AFG,DEU,4,1
2000,AFG,EGY,6,1
2000,AFG,FRA,4,1
2000,AFG,GBR,4,1
2000,AFG,HUN,4,1
2000,AFG,IDN,4,1
2000,AFG,IND,4,1
2000,AFG,IRN,6,1
2000,AFG,ITA,4,1
2000,AFG,JPN,4,1
2000,AFG,KAZ,4,1
2000,AFG,KWT,4,1
2000,AFG,LBY,6,1
2000,AFG,PAK,6,1
2000,AFG,POL,6,1
2000,AFG,RUS,6,1
2000,AFG,SYR,4,1
2000,AFG,TJK,4,1
2000,AFG,TUR,6,1
2000,AFG,UKR,6,1
2000,AFG,UZB,4,1
2000,AGO,AUT,6,1
2000,AGO,BEL,6,1
2000,AGO,BRA,6,1
2000,AGO,BWA,6,1
2000,AGO,CAN,4,1
2000,AGO,CHN,6,1
2000,AGO,CIV,6,1
2000,AGO,COD,6,1
2000,AGO,CUB,6,1
2000,AGO,DEU,6,1
2000,AGO,DZA,6,1
2000,AGO,EGY,6,1
2000,AGO,ESP,6,1
2000,AGO,ETH,6,1
2000,AGO,FRA,6,1
2000,AGO,GAB,6,1
2000,AGO,GBR,6,1
2000,AGO,IRN,6,1
2000,AGO,ITA,6,1
2000,AGO,MAR,6,1
2000,AGO,MEX,4,1
2000,AGO,MOZ,6,1
2000,AGO,NAM,6,1
2000,AGO,NGA,6,1
2000,AGO,PRT,6,1
2000,AGO,RUS,6,1
2000,AGO,SRB,6,1
2000,AGO,STP,4,1
2000,AGO,SVK,6,1
2000,AGO,SWE,6,1
2000,AGO,TZA,6,1
2000,AGO,USA,6,1
2000,AGO,VAT,6,1
2000,AGO,ZAF,6,1
2000,AGO,ZMB,6,1
2000,AGO,ZWE,6,1
2000,ALB,AUT,6,1
2000,ALB,BEL,6,1
2000,ALB,BGR,6,1
2000,ALB,CHE,6,1
2000,ALB,CHN,6,1
2000,ALB,CUB,6,1
2000,ALB,CZE,6,1
2000,ALB,DEU,6,1
2000,ALB,EGY,6,1
2000,ALB,ESP,6,1
2000,ALB,FRA,6,1
2000,ALB,GBR,6,1
2000,ALB,GRC,6,1
2000,ALB,HUN,6,1
2000,ALB,IRN,6,1
2000,ALB,IRQ,6,1
2000,ALB,ITA,6,1
2000,ALB,MKD,6,1
2000,ALB,NLD,6,1
2000,ALB,POL,6,1
2000,ALB,ROU,6,1
2000,ALB,RUS,6,1
2000,ALB,SRB,4,1
2000,ALB,SVN,6,1
2000,ALB,SWE,6,1
2000,ALB,TUR,6,1
2000,ALB,TZA,6,1
2000,ALB,USA,6,1
2000,ALB,VAT,6,1
2000,AND,BEL,6,1
2000,AND,ESP,6,1
2000,AND,FRA,6,1
2000,AND,USA,6,1
2000,ARE,AUS,6,1
2000,ARE,AUT,4,1
2000,ARE,BEL,6,1
2000,ARE,BGD,4,1
2000,ARE,BHR,6,1
2000,ARE,BRA,6,1
2000,ARE,CAN,6,1
2000,ARE,CHN,6,1
2000,ARE,DEU,6,1
2000,ARE,DZA,6,1
2000,ARE,EGY,6,1
2000,ARE,ESP,6,1
2000,ARE,FRA,6,1
2000,ARE,GBR,6,1
2000,ARE,IDN,4,1
2000,ARE,IND,6,1
2000,ARE,IRN,6,1
2000,ARE,IRQ,6,1
2000,ARE,ITA,6,1
2000,ARE,JOR,6,1
2000,ARE,JPN,6,1
2000,ARE,KOR,6,1
2000,ARE,KWT,6,1
2000,ARE,LBN,6,1
2000,ARE,MAR,6,1
2000,ARE,OMN,6,1
2000,ARE,PAK,6,1
2000,ARE,PHL,6,1
2000,ARE,QAT,6,1
2000,ARE,RUS,6,1
2000,ARE,SAU,6,1
2000,ARE,SDN,6,1
2000,ARE,SYR,6,1
2000,ARE,TUN,6,1
2000,ARE,TUR,6,1
2000,ARE,USA,4,1
2000,ARE,YEM,6,1
2000,ARE,ZAF,6,1
2000,ARG,ARE,6,1
2000,ARG,AUS,6,1
2000,ARG,AUT,6,1
2000,ARG,BEL,6,1
2000,ARG,BGR,6,1
2000,ARG,BOL,6,1
2000,ARG,BRA,6,1
2000,ARG,CAN,6,1
2000,ARG,CHE,6,1
2000,ARG,CHL,6,1
2000,ARG,CHN,6,1
2000,ARG,COL,6,1
2000,ARG,CRI,4,1
2000,ARG,CUB,6,1
2000,ARG,CZE,6,1
2000,ARG,DEU,6,1
2000,ARG,DNK,6,1
2000,ARG,DOM,6,1
2000,ARG,DZA,6,1
2000,ARG,ECU,6,1
2000,ARG,EGY,6,1
2000,ARG,ESP,6,1
2000,ARG,FIN,6,1
2000,ARG,FRA,6,1
2000,ARG,GAB,6,1
2000,ARG,GBR,6,1
2000,ARG,GRC,6,1
2000,ARG,GTM,6,1
2000,ARG,HND,6,1
2000,ARG,HTI,6,1
2000,ARG,HUN,6,1
2000,ARG,IDN,6,1
2000,ARG,IND,6,1
2000,ARG,IRL,6,1
2000,ARG,IRN,4,1
2000,ARG,IRQ,6,1
2000,ARG,ISR,6,1
2000,ARG,ITA,4,1
2000,ARG,JAM,6,1
2000,ARG,JPN,6,1
2000,ARG,KEN,6,1
2000,ARG,KOR,6,1
2000,ARG,KWT,6,1
2000,ARG,LBN,6,1
2000,ARG,LBY,4,1
2000,ARG,MAR,6,1
2000,ARG,MEX,6,1
2000,ARG,MYS,6,1
2000,ARG,NGA,6,1
2000,ARG,NIC,6,1
2000,ARG,NLD,6,1
2000,ARG,NOR,6,1
2000,ARG,NZL,6,1
2000,ARG,PAK,6,1
2000,ARG,PAN,6,1
2000,ARG,PER,6,1
2000,ARG,PHL,6,1
2000,ARG,POL,6,1
2000,ARG,PRT,4,1
2000,ARG,PRY,6,1
2000,ARG,ROU,6,1
