combination,code,layers,n_layers,centrality_type,accuracy,matches,predicted_top20,matched_countries
移住のみ,M,migration,1,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
移住のみ,M,migration,1,betweenness,0.1,2,"['LIE', 'GIN', 'EST', 'BHS', 'CRI', 'CYP', 'PRT', 'LKA', 'BOL', 'LVA', 'ATG', 'MEX', 'GRC', 'CMR', 'AUS', 'ISR', 'ISL', 'CPV', 'BGR', 'IND']","['AUS', 'IND']"
移住+外交,MD,migration+diplomacy,2,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
移住+外交,MD,migration+diplomacy,2,betweenness,0.1,2,"['GIN', 'SVK', 'EST', 'TUR', 'HUN', 'CRI', 'LIE', 'LVA', 'IRQ', 'BGR', 'SVN', 'QAT', 'BRA', 'TWN', 'VAT', 'SSD', 'ZAF', 'BOL', 'SRB', 'KWT']","['KWT', 'TUR']"
移住+航空,MA,migration+aviation,2,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
移住+航空,MA,migration+aviation,2,betweenness,0.3,6,"['QAT', 'EST', 'FRA', 'LIE', 'LVA', 'TUR', 'GIN', 'ISL', 'USA', 'PRI', 'LTU', 'ETH', 'NLD', 'ARE', 'CAN', 'CHE', 'HUN', 'HKG', 'KOR', 'AUT']","['ARE', 'CAN', 'FRA', 'HKG', 'TUR', 'USA']"
移住+貿易,MT,migration+trade,2,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
移住+貿易,MT,migration+trade,2,betweenness,0.0,0,"['LIE', 'SVK', 'KIR', 'AIA', 'TLS', 'BLZ', 'ISL', 'LVA', 'RWA', 'NAM', 'NRU', 'HUN', 'AFG', 'GIN', 'AND', 'BRN', 'MNP', 'EST', 'PLW', 'GRD']",[]
移住+外交+航空,MDA,migration+diplomacy+aviation,3,degree,0.9,18,"['USA', 'RUS', 'SAU', 'DEU', 'FRA', 'CAN', 'IND', 'AUS', 'GBR', 'UKR', 'ESP', 'ARE', 'ITA', 'PAK', 'JOR', 'IRN', 'HKG', 'MYS', 'CIV', 'JPN']","['ARE', 'AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JOR', 'JPN', 'MYS', 'PAK', 'RUS', 'SAU', 'UKR', 'USA']"
移住+外交+航空,MDA,migration+diplomacy+aviation,3,betweenness,0.15,3,"['ARE', 'ISL', 'TUR', 'LIE', 'HKG', 'QAT', 'SVK', 'GIN', 'NLD', 'TWN', 'HUN', 'BGR', 'ETH', 'EST', 'LVA', 'SLE', 'IRQ', 'SSD', 'PRI', 'BRA']","['ARE', 'HKG', 'TUR']"
移住+外交+貿易,MDT,migration+diplomacy+trade,3,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
移住+外交+貿易,MDT,migration+diplomacy+trade,3,betweenness,0.05,1,"['VAT', 'LIE', 'BOL', 'LBY', 'XKX', 'GIN', 'BGR', 'HUN', 'TLS', 'IRQ', 'GRL', 'ESP', 'SUR', 'ISL', 'BLZ', 'SVK', 'NRU', 'MKD', 'FIN', 'BRB']",['ESP']
移住+航空+貿易,MAT,migration+aviation+trade,3,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
移住+航空+貿易,MAT,migration+aviation+trade,3,betweenness,0.15,3,"['LIE', 'PRI', 'FJI', 'EST', 'TCA', 'MTQ', 'USA', 'CAN', 'GIN', 'GUM', 'BRB', 'GUF', 'ISL', 'AIA', 'FRA', 'GLP', 'BLZ', 'SVK', 'KIR', 'NRU']","['CAN', 'FRA', 'USA']"
全レイヤー,ALL,migration+diplomacy+aviation+trade,4,degree,0.6,12,"['USA', 'DEU', 'CHN', 'GBR', 'JPN', 'FRA', 'NLD', 'HKG', 'ITA', 'CAN', 'KOR', 'BEL', 'ESP', 'MEX', 'IND', 'SGP', 'TWN', 'CHE', 'RUS', 'AUS']","['AUS', 'CAN', 'DEU', 'ESP', 'FRA', 'GBR', 'HKG', 'IND', 'ITA', 'JPN', 'RUS', 'USA']"
全レイヤー,ALL,migration+diplomacy+aviation+trade,4,betweenness,0.15,3,"['VAT', 'LIE', 'PRI', 'XKX', 'BOL', 'TCA', 'FJI', 'EST', 'LBY', 'MTQ', 'GIN', 'USA', 'BGR', 'MKD', 'FRA', 'BRB', 'CAN', 'MHL', 'NRU', 'SSD']","['CAN', 'FRA', 'USA']"
